"","date","state","county","city","college","cases","mergeCS","countyCovidProp","plan","enrollment2018","type","adjCases","diff","sign"
"3499","dec11","Alabama","Covington","Andalusia","Lurleen B. Wallace Community College",19,"CovingtonAlabama",0.0665335096763745,"Primarily online","1784","Public, 2-year",0.0106502242152466,-0.0558832854611279,"good"
"3500","dec11","Alabama","Perry","Marion","Marion Military Institute",13,"PerryAlabama",0.0816989801636221,"Hybrid","394","Public, 2-year",0.032994923857868,-0.0487040563057541,"good"
"3502","dec11","Alabama","Jefferson","Birmingham","Samford University",480,"JeffersonAlabama",0.0589061501154769,"Hybrid","5619","Private nonprofit, 4-year",0.0854244527495996,0.0265183026341227,"bad"
"3503","dec11","Alabama","Marshall","Boaz","Snead State Community College",19,"MarshallAlabama",0.0780271560543121,"Hybrid","2280","Public, 2-year",0.00833333333333333,-0.0696938227209788,"good"
"3504","dec11","Alabama","Randolph","Wadley","Southern Union State Community College",59,"RandolphAlabama",0.049115394771587,"Hybrid","4531","Public, 2-year",0.013021408077687,-0.0360939866939,"good"
"3505","dec11","Alabama","Mobile","Mobile","Spring Hill College",124,"MobileAlabama",0.0525253503061397,"Hybrid","1379","Private nonprofit, 4-year",0.0899202320522118,0.037394881746072,"bad"
"3506","dec11","Alabama","Pike","Troy","Troy University",749,"PikeAlabama",0.0517001872319865,"Hybrid","16981","Public, 4-year",0.0441081208409399,-0.00759206639104663,"good"
"3510","dec11","Alabama","Macon","Tuskeegee","Tuskegee University",110,"MaconAlabama",0.0455501439008191,"Hybrid","3026","Private nonprofit, 4-year",0.0363516192994052,-0.00919852460141395,"good"
"3512","dec11","Alabama","Jefferson","Birmingham","University of Alabama, Birmingham",2286,"JeffersonAlabama",0.0589061501154769,"Primarily online","21923","Public, 4-year",0.104274050084386,0.0453678999689094,"bad"
"3514","dec11","Alabama","Shelby","Montevallo","University of Montevallo",140,"ShelbyAlabama",0.0562879532572048,"Primarily in person","2612","Public, 4-year",0.0535987748851455,-0.00268917837205932,"good"
"3515","dec11","Alabama","Lauderdale","Florence","University of North Alabama",488,"LauderdaleAlabama",0.0530254828586526,"Hybrid","7488","Public, 4-year",0.0651709401709402,0.0121454573122876,"bad"
"3516","dec11","Alabama","Mobile","Mobile","University of South Alabama",507,"MobileAlabama",0.0525253503061397,"Primarily online","14834","Public, 4-year",0.0341782391802616,-0.0183471111258781,"good"
"3517","dec11","Alabama","Sumter","Livingston","University of West Alabama",30,"SumterAlabama",0.0511788846865696,"Fully in person","5200","Public, 4-year",0.00576923076923077,-0.0454096539173388,"good"
"3523","dec11","Arizona","Maricopa","Tempe","Arizona State University",3642,"MaricopaArizona",0.0544500463056476,"Hybrid","51585","Public, 4-year",0.0706019191625473,0.0161518728568997,"bad"
"3524","dec11","Arizona","Yuma","Yuma","Arizona Western College",41,"YumaArizona",0.0986963660091587,"Primarily online","7434","Public, 2-year",0.00551520043045467,-0.093181165578704,"good"
"3525","dec11","Arizona","Apache","Tsaile","Dine College",5,"ApacheArizona",0.0859960771766801,"Primarily online","1519","Public, 4-year",0.0032916392363397,-0.0827044379403404,"good"
"3529","dec11","Arizona","Mohave","Kingman","Mohave Community College",0,"MohaveArizona",0.0376141124794397,"Primarily online","4071","Public, 2-year",0,-0.0376141124794397,"good"
"3530","dec11","Arizona","Coconino","Flagstaff","Northern Arizona University",354,"CoconinoArizona",0.0604979229975745,"Primarily online","31066","Public, 4-year",0.0113950943153287,-0.0491028286822458,"good"
"3531","dec11","Arizona","Pima","Tucson","University of Arizona",2959,"PimaArizona",0.0462493757632875,"Primarily online","44097","Public, 4-year",0.0671020704356305,0.020852694672343,"bad"
"3532","dec11","Arkansas","Mississippi","Blytheville","Arkansas Northeastern College",56,"MississippiArkansas",0.0905020786696514,"Hybrid","1422","Public, 2-year",0.0393811533052039,-0.0511209253644475,"good"
"3534","dec11","Arkansas","Jackson","Newport","Arkansas State University-Newport",43,"JacksonArkansas",0.139900711765058,"Primarily in person","2270","Public, 2-year",0.018942731277533,-0.120957980487525,"good"
"3535","dec11","Arkansas","Pope","Russellville","Arkansas Tech University",402,"PopeArkansas",0.0653327506555125,"Primarily in person","12101","Public, 4-year",0.033220395008677,-0.0321123556468355,"good"
"3536","dec11","Arkansas","Randolph","Pocahontas","Black River Technical College",85,"RandolphArkansas",0.0649849649181423,"Primarily in person","1582","Public, 2-year",0.0537294563843236,-0.0112555085338187,"good"
"3537","dec11","Arkansas","Faulkner","Conway","Central Baptist College",20,"FaulknerArkansas",0.045084796876364,"Hybrid","732","Private nonprofit, 4-year",0.0273224043715847,-0.0177623925047793,"good"
"3538","dec11","Arkansas","Sevier","De Queen","Cossatot Community College of the University of Arkansas",0,"SevierArkansas",0.107955547715646,"Primarily in person","1518","Public, 2-year",0,-0.107955547715646,"good"
"3539","dec11","Arkansas","White","Searcy","Harding University",435,"WhiteArkansas",0.0431602605615024,"Hybrid","5121","Private nonprofit, 4-year",0.0849443468072642,0.0417840862457618,"bad"
"3540","dec11","Arkansas","Clark","Arkadelphia","Henderson State University",172,"ClarkArkansas",0.0448028673835125,"Primarily online","3961","Public, 4-year",0.0434233779348649,-0.00137948944864757,"good"
"3541","dec11","Arkansas","Faulkner","Conway","Hendrix College",22,"FaulknerArkansas",0.045084796876364,"Fully online","1208","Private nonprofit, 4-year",0.0182119205298013,-0.0268728763465627,"good"
"3542","dec11","Arkansas","Benton","Siloam Springs","John Brown University",66,"BentonArkansas",0.0493478206354495,"Fully in person","2516","Private nonprofit, 4-year",0.0262321144674086,-0.0231157061680409,"good"
"3543","dec11","Arkansas","Independence","Batesville","Lyon College",22,"IndependenceArkansas",0.0607534699272968,"Fully online","655","Private nonprofit, 4-year",0.033587786259542,-0.0271656836677548,"good"
"3544","dec11","Arkansas","Garland","Hot Springs","National Park College",66,"GarlandArkansas",0.0445434970720222,"Fully online","2017","Public, 2-year",0.0327218641546852,-0.011821632917337,"good"
"3545","dec11","Arkansas","Boone","Harrison","North Arkansas College",76,"BooneArkansas",0.055540713827741,"Primarily online","1812","Public, 2-year",0.0419426048565121,-0.0135981089712289,"good"
"3546","dec11","Arkansas","Benton","Bentonville","NorthWest Arkansas Community College",34,"BentonArkansas",0.0493478206354495,"Primarily online","7979","Public, 2-year",0.00426118561223211,-0.0450866350232174,"good"
"3547","dec11","Arkansas","Clark","Arkadelphia","Ouachita Baptist University",197,"ClarkArkansas",0.0448028673835125,"Primarily online","1660","Private nonprofit, 4-year",0.118674698795181,0.0738718314116682,"bad"
"3548","dec11","Arkansas","Union","El Dorado","South Arkansas Community College",41,"UnionArkansas",0.0458869758544026,"Undetermined","1473","Public, 2-year",0.0278343516632722,-0.0180526241911304,"good"
"3549","dec11","Arkansas","Columbia","Magnolia","Southern Arkansas University",216,"ColumbiaArkansas",0.0539284648505777,"Undetermined","4472","Public, 4-year",0.0483005366726297,-0.00562792817794801,"good"
"3554","dec11","Arkansas","Sebastian","Fort Smith","University of Arkansas, Fort Smith",192,"SebastianArkansas",0.0612390183607532,"Primarily in person","6557","Public, 4-year",0.0292816836968126,-0.0319573346639406,"good"
"3555","dec11","Arkansas","Pulaski","Little Rock","University of Arkansas, Little Rock",218,"PulaskiArkansas",0.0486666615634672,"Hybrid","10515","Public, 4-year",0.0207322872087494,-0.0279343743547178,"good"
"3556","dec11","Arkansas","Drew","Monticello","University of Arkansas, Monticello",106,"DrewArkansas",0.058729897359899,"Hybrid","3111","Public, 4-year",0.0340726454516233,-0.0246572519082757,"good"
"3557","dec11","Arkansas","Jefferson","Pine Bluff","University of Arkansas, Pine Bluff",201,"JeffersonArkansas",0.0831587453609482,"Primarily online","2579","Public, 4-year",0.0779371849554091,-0.00522156040553912,"good"
"3559","dec11","Arkansas","Pulaski","North Little Rock","University of Arkansas-Pulaski Technical College",108,"PulaskiArkansas",0.0486666615634672,"Fully in person","4531","Public, 2-year",0.023835797837122,-0.0248308637263452,"good"
"3560","dec11","Arkansas","Conway","Conway","University of Central Arkansas",563,"ConwayArkansas",0.0412069461767246,"Primarily online","11177","Public, 4-year",0.0503712982016641,0.00916435202493953,"bad"
"3561","dec11","Arkansas","Johnson","Clarksville","University of the Ozarks",63,"JohnsonArkansas",0.0533147716156219,"Hybrid","872","Private nonprofit, 4-year",0.0722477064220183,0.0189329348063964,"bad"
"3563","dec11","California","Los Angeles","Lancaster","Antelope Valley College",28,"Los AngelesCalifornia",0.0486153798340829,"Primarily online","14239","Public, 4-year",0.00196643022684177,-0.0466489496072411,"good"
"3564","dec11","California","Los Angeles","Azusa","Azusa Pacific University",44,"Los AngelesCalifornia",0.0486153798340829,"Fully online","10095","Private nonprofit, 4-year",0.00435859336305102,-0.0442567864710319,"good"
"3565","dec11","California","Kern","Bakersfield","Bakersfield College",0,"KernCalifornia",0.0537668212245696,"Primarily online","24589","Public, 4-year",0,-0.0537668212245696,"good"
"3566","dec11","California","Los Angeles","La Mirada","Biola University",10,"Los AngelesCalifornia",0.0486153798340829,"Primarily online","6109","Private nonprofit, 4-year",0.00163692912096906,-0.0469784507131138,"good"
"3567","dec11","California","Riverside","Riverside","California Baptist University",25,"RiversideCalifornia",0.04495079225402,"Primarily online","10486","Private nonprofit, 4-year",0.00238413122258249,-0.0425666610314375,"good"
"3568","dec11","California","Los Angeles","Pasadena","California Institute of Technology",48,"Los AngelesCalifornia",0.0486153798340829,"Fully online","2233","Private nonprofit, 4-year",0.0214957456336767,-0.0271196342004062,"good"
"3569","dec11","California","Ventura","Thousand Oaks","California Lutheran University",22,"VenturaCalifornia",0.0282468445850266,"Primarily online","4383","Private nonprofit, 4-year",0.00501939310974219,-0.0232274514752844,"good"
"3570","dec11","California","San Luis Obispo","San Luis Obispo","California Polytechnic State University, San Luis Obispo",871,"San Luis ObispoCalifornia",0.0256683774208703,"Primarily online","22013","Public, 4-year",0.0395675282787444,0.0138991508578741,"bad"
"3571","dec11","California","Los Angeles","Pomona","California State Polytechnic University, Pomona",22,"Los AngelesCalifornia",0.0486153798340829,"Fully online","26598","Public, 4-year",0.000827129859387924,-0.047788249974695,"good"
"3572","dec11","California","Solano","Vallejo","California State University Maritime Academy",8,"SolanoCalifornia",0.0280089267563661,"Primarily online","1046","Public, 4-year",0.00764818355640535,-0.0203607431999607,"good"
"3573","dec11","California","Kern","Bakersfield","California State University, Bakersfield",68,"KernCalifornia",0.0537668212245696,"Primarily online","10816","Public, 4-year",0.00628698224852071,-0.0474798389760489,"good"
"3575","dec11","California","Butte","Chico","California State University, Chico",233,"ButteCalifornia",0.0220315166114624,"Fully online","17578","Public, 4-year",0.0132552053703493,-0.0087763112411131,"good"
"3578","dec11","California","Orange","Fullerton","California State University, Fullerton",22,"OrangeCalifornia",0.0305281494552998,"Fully online","40280","Public, 4-year",0.00054617676266137,-0.0299819726926384,"good"
"3579","dec11","California","Los Angeles","Long Beach","California State University, Long Beach",51,"Los AngelesCalifornia",0.0486153798340829,"Primarily online","37466","Public, 4-year",0.00136123418566167,-0.0472541456484212,"good"
"3580","dec11","California","Los Angeles","Los Angeles","California State University, Los Angeles",105,"Los AngelesCalifornia",0.0486153798340829,"Fully online","28036","Public, 4-year",0.00374518476244828,-0.0448701950716346,"good"
"3582","dec11","California","Los Angeles","Los Angeles","California State University, Northridge",71,"Los AngelesCalifornia",0.0486153798340829,"Primarily online","40212","Public, 4-year",0.0017656420968865,-0.0468497377371964,"good"
"3583","dec11","California","Sacramento","Sacramento","California State University, Sacramento",77,"SacramentoCalifornia",0.0299460458307615,"Primarily online","31902","Public, 4-year",0.00241364177794496,-0.0275324040528165,"good"
"3584","dec11","California","San Bernardino","San Bernardino","California State University, San Bernardino",28,"San BernardinoCalifornia",0.0530442620356546,"Primarily online","20238","Public, 4-year",0.00138353592252199,-0.0516607261131326,"good"
"3585","dec11","California","San Diego","San Marcos","California State University, San Marcos",45,"San DiegoCalifornia",0.0298538490802287,"Primarily online","15972","Public, 4-year",0.00281743050338092,-0.0270364185768478,"good"
"3587","dec11","California","Orange","Orange","Chapman University",152,"OrangeCalifornia",0.0305281494552998,"Primarily online","9608","Private nonprofit, 4-year",0.0158201498751041,-0.0147079995801957,"good"
"3588","dec11","California","Los Angeles","Claremont","Claremont McKenna College",0,"Los AngelesCalifornia",0.0486153798340829,"Fully online","1327","Private nonprofit, 4-year",0,-0.0486153798340829,"good"
"3590","dec11","California","Orange","Cypress","Cypress College",19,"OrangeCalifornia",0.0305281494552998,"Fully online","15794","Public, 4-year",0.0012029884766367,-0.0293251609786631,"good"
"3591","dec11","California","Marin","San Rafael","Dominican University of California",8,"MarinCalifornia",0.0321219661085053,"Primarily online","1779","Private nonprofit, 4-year",0.00449690837549185,-0.0276250577330134,"good"
"3593","dec11","California","Plumas","Quincy","Feather River College",7,"PlumasCalifornia",0.0144095283670974,"Primarily online","2216","Public, 4-year",0.00315884476534296,-0.0112506836017544,"good"
"3594","dec11","California","Santa Clara","Los Altos","Foothill College",0,"Santa ClaraCalifornia",0.0228435585304266,"Primarily online","14732","Public, 4-year",0,-0.0228435585304266,"good"
"3595","dec11","California","Fresno","Fresno","Fresno Pacific University",13,"FresnoCalifornia",0.0419917505837748,"Fully online","4292","Private nonprofit, 4-year",0.00302889095992544,-0.0389628596238494,"good"
"3597","dec11","California","Los Angeles","Claremont","Harvey Mudd College",5,"Los AngelesCalifornia",0.0486153798340829,"Fully online","902","Private nonprofit, 4-year",0.00554323725055432,-0.0430721425835286,"good"
"3598","dec11","California","Alameda","Oakland","Holy Names University",7,"AlamedaCalifornia",0.0209821046604229,"Fully online","960","Private nonprofit, 4-year",0.00729166666666667,-0.0136904379937562,"good"
"3599","dec11","California","Humboldt","Arcata","Humboldt State University",31,"HumboldtCalifornia",0.00881541480399534,"Primarily online","7972","Public, 4-year",0.00388861013547416,-0.00492680466852118,"good"
"3601","dec11","California","Los Angeles","Los Angeles","Loyola Marymount University",34,"Los AngelesCalifornia",0.0486153798340829,"Primarily online","9838","Private nonprofit, 4-year",0.00345598698922545,-0.0451593928448574,"good"
"3602","dec11","California","San Mateo","Atherton","Menlo College",10,"San MateoCalifornia",0.0220252996126918,"Fully online","775","Private nonprofit, 4-year",0.0129032258064516,-0.00912207380624019,"good"
"3603","dec11","California","Alameda","Oakland","Mills College",3,"AlamedaCalifornia",0.0209821046604229,"Primarily online","1257","Private nonprofit, 4-year",0.00238663484486874,-0.0185954698155542,"good"
"3607","dec11","California","San Mateo","Belmont","Notre Dame de Namur University",0,"San MateoCalifornia",0.0220252996126918,"Fully online","1492","Private nonprofit, 4-year",0,-0.0220252996126918,"good"
"3608","dec11","California","Los Angeles","Los Angeles","Occidental College",10,"Los AngelesCalifornia",0.0486153798340829,"Fully online","1930","Private nonprofit, 4-year",0.00518134715025907,-0.0434340326838238,"good"
"3609","dec11","California","Los Angeles","Malibu","Pepperdine University",36,"Los AngelesCalifornia",0.0486153798340829,"Fully online","7961","Private nonprofit, 4-year",0.00452204496922497,-0.0440933348648579,"good"
"3610","dec11","California","Los Angeles","Claremont","Pitzer College",1,"Los AngelesCalifornia",0.0486153798340829,"Fully online","1072","Private nonprofit, 4-year",0.000932835820895522,-0.0476825440131874,"good"
"3611","dec11","California","San Diego","San Diego","Point Loma Nazarene University",90,"San DiegoCalifornia",0.0298538490802287,"Hybrid","4592","Private nonprofit, 4-year",0.0195993031358885,-0.0102545459443402,"good"
"3612","dec11","California","Los Angeles","Claremont","Pomona College",16,"Los AngelesCalifornia",0.0486153798340829,"Fully online","1573","Private nonprofit, 4-year",0.0101716465352829,-0.0384437332988,"good"
"3613","dec11","California","Los Angeles","Whittier","Rio Hondo College",31,"Los AngelesCalifornia",0.0486153798340829,"Fully online","19997","Public, 4-year",0.00155023253488023,-0.0470651472992027,"good"
"3614","dec11","California","Contra Costa","Moraga","Saint Mary's College of California",15,"Contra CostaCalifornia",0.0246955855351331,"Primarily online","3881","Private nonprofit, 4-year",0.00386498325173924,-0.0208306022833939,"good"
"3615","dec11","California","San Diego","San Diego","San Diego City College",7,"San DiegoCalifornia",0.0298538490802287,"Primarily online","15066","Public, 2-year",0.000464622328421612,-0.0293892267518071,"good"
"3616","dec11","California","San Diego","San Diego","San Diego Mesa College",2,"San DiegoCalifornia",0.0298538490802287,"Primarily online","22284","Public, 4-year",8.9750493627715e-05,-0.029764098586601,"good"
"3617","dec11","California","San Diego","San Diego","San Diego Miramar College",5,"San DiegoCalifornia",0.0298538490802287,"Primarily online","15893","Public, 2-year",0.000314603913672686,-0.029539245166556,"good"
"3619","dec11","California","San Francisco","San Francisco","San Francisco State University",10,"San FranciscoCalifornia",0.0200000226873379,"Primarily online","29778","Public, 4-year",0.000335818389415004,-0.0196642042979229,"good"
"3620","dec11","California","Santa Clara","San Jose","San Jose State University",73,"Santa ClaraCalifornia",0.0228435585304266,"Primarily online","35400","Public, 4-year",0.00206214689265537,-0.0207814116377712,"good"
"3621","dec11","California","Orange","Santa Ana","Santa Ana College",25,"OrangeCalifornia",0.0305281494552998,"Primarily online","28425","Public, 4-year",0.000879507475813544,-0.0296486419794863,"good"
"3622","dec11","California","Santa Clara","Santa Clara","Santa Clara University",95,"Santa ClaraCalifornia",0.0228435585304266,"Primarily online","8642","Private nonprofit, 4-year",0.0109928257347836,-0.011850732795643,"good"
"3623","dec11","California","Los Angeles","Santa Monica","Santa Monica College",5,"Los AngelesCalifornia",0.0486153798340829,"Fully online","28800","Public, 4-year",0.000173611111111111,-0.0484417687229718,"good"
"3624","dec11","California","Orange","Orange","Santiago Canyon College",4,"OrangeCalifornia",0.0305281494552998,"Primarily online","11373","Public, 2-year",0.000351710190802779,-0.030176439264497,"good"
"3625","dec11","California","Los Angeles","Claremont","Scripps College",4,"Los AngelesCalifornia",0.0486153798340829,"Fully online","1071","Private nonprofit, 4-year",0.00373482726423903,-0.0448805525698439,"good"
"3626","dec11","California","Shasta","Redding","Shasta College",37,"ShastaCalifornia",0.0354009329187028,"Hybrid","9105","Public, 4-year",0.00406370126304228,-0.0313372316556605,"good"
"3627","dec11","California","San Mateo","San Bruno","Skyline College",0,"San MateoCalifornia",0.0220252996126918,"Primarily online","9014","Public, 4-year",0,-0.0220252996126918,"good"
"3628","dec11","California","Solano","Fairfield","Solano Community College",0,"SolanoCalifornia",0.0280089267563661,"Primarily online","9378","Public, 4-year",0,-0.0280089267563661,"good"
"3629","dec11","California","Sonoma","Ronhert Park","Sonoma State University",5,"SonomaCalifornia",0.0283086807353703,"Primarily online","9459","Public, 4-year",0.000528597103287874,-0.0277800836320824,"good"
"3631","dec11","California","Santa Clara","Stanford","Stanford University",242,"Santa ClaraCalifornia",0.0228435585304266,"Primarily online","17381","Private nonprofit, 4-year",0.0139232495253438,-0.00892030900508283,"good"
"3633","dec11","California","Alameda","Berkeley","University of California, Berkeley",330,"AlamedaCalifornia",0.0209821046604229,"Primarily online","42501","Public, 4-year",0.0077645231876897,-0.0132175814727332,"good"
"3634","dec11","California","Yolo","Davis","University of California, Davis",123,"YoloCalifornia",0.0261859410430839,"Primarily online","38167","Public, 4-year",0.00322267927791024,-0.0229632617651737,"good"
"3636","dec11","California","Orange","Irvine ","University of California, Irvine",341,"OrangeCalifornia",0.0305281494552998,"Primarily online","36032","Public, 4-year",0.00946380994671403,-0.0210643395085858,"good"
"3637","dec11","California","Los Angeles","Los Angeles","University of California, Los Angeles",712,"Los AngelesCalifornia",0.0486153798340829,"Primarily online","44537","Public, 4-year",0.0159867076812538,-0.0326286721528291,"good"
"3638","dec11","California","Merced","Merced","University of California, Merced",45,"MercedCalifornia",0.0515341400172861,"Primarily online","8544","Public, 4-year",0.00526685393258427,-0.0462672860847018,"good"
"3639","dec11","California","Riverside","Riverside","University of California, Riverside",162,"RiversideCalifornia",0.04495079225402,"Primarily online","23922","Public, 4-year",0.00677200902934537,-0.0381787832246746,"good"
"3640","dec11","California","San Diego","San Diego","University of California, San Diego",720,"San DiegoCalifornia",0.0298538490802287,"Primarily online","37887","Public, 4-year",0.0190038799588249,-0.0108499691214038,"good"
"3642","dec11","California","Santa Barbara","Santa Barbara","University of California, Santa Barbara",33,"Santa BarbaraCalifornia",0.0286853945921491,"Primarily online","25976","Public, 4-year",0.00127040344933785,-0.0274149911428112,"good"
"3643","dec11","California","Santa Cruz","Santa Cruz","University of California, Santa Cruz",69,"Santa CruzCalifornia",0.0202296376819551,"Primarily online","19700","Public, 4-year",0.00350253807106599,-0.0167270996108891,"good"
"3644","dec11","California","Los Angeles","La Verne","University of La Verne",0,"Los AngelesCalifornia",0.0486153798340829,"Primarily in person","8064","Private nonprofit, 4-year",0,-0.0486153798340829,"good"
"3645","dec11","California","San Bernardino","Redlands","University of Redlands",12,"San BernardinoCalifornia",0.0530442620356546,"Fully online","4598","Private nonprofit, 4-year",0.00260983036102653,-0.0504344316746281,"good"
"3646","dec11","California","San Diego","San Diego","University of San Diego",234,"San DiegoCalifornia",0.0298538490802287,"Primarily online","9073","Private nonprofit, 4-year",0.0257908078915463,-0.00406304118868235,"good"
"3647","dec11","California","San Francisco","San Francisco","University of San Francisco",17,"San FranciscoCalifornia",0.0200000226873379,"Fully online","10713","Private nonprofit, 4-year",0.00158685708951741,-0.0184131655978205,"good"
"3648","dec11","California","Los Angeles","Los Angeles","University of Southern California",808,"Los AngelesCalifornia",0.0486153798340829,"Primarily online","47310","Private nonprofit, 4-year",0.0170788416825196,-0.0315365381515633,"good"
"3649","dec11","California","San Joaquin","Stockton","University of the Pacific",10,"San JoaquinCalifornia",0.0404330917354635,"Fully online","6493","Private nonprofit, 4-year",0.00154012012937009,-0.0388929716060934,"good"
"3650","dec11","California","Santa Barbara","Santa Barbara","Westmont College",10,"Santa BarbaraCalifornia",0.0286853945921491,"Hybrid","1277","Private nonprofit, 4-year",0.00783085356303837,-0.0208545410291107,"good"
"3651","dec11","California","Los Angeles","Whittier","Whittier College",2,"Los AngelesCalifornia",0.0486153798340829,"Primarily online","1852","Private nonprofit, 4-year",0.00107991360691145,-0.0475354662271715,"good"
"3652","dec11","Colorado","Alamosa","Alamosa","Adams State University",108,"AlamosaColorado",0.0463869894659028,"Hybrid","3110","Public, 4-year",0.0347266881028939,-0.0116603013630089,"good"
"3653","dec11","Colorado","Arapahoe","Littleton","Arapahoe Community College",72,"ArapahoeColorado",0.0489453083354909,"Hybrid","11544","Public, 4-year",0.00623700623700624,-0.0427083020984847,"good"
"3654","dec11","Colorado","Jefferson","Lakewood","Colorado Christian University",109,"JeffersonColorado",0.0425112501522609,"Primarily in person","7625","Private nonprofit, 4-year",0.0142950819672131,-0.0282161681850478,"good"
"3655","dec11","Colorado","El Paso","Colorado Springs","Colorado College",55,"El PasoColorado",0.0473207357548483,"Fully online","2144","Private nonprofit, 4-year",0.0256529850746269,-0.0216677506802214,"good"
"3656","dec11","Colorado","Mesa","Grand Junction","Colorado Mesa University",850,"MesaColorado",0.0461254133973154,"Primarily in person","9492","Public, 4-year",0.0895490939738727,0.0434236805765573,"bad"
"3658","dec11","Colorado","Jefferson","Golden","Colorado School of Mines",389,"JeffersonColorado",0.0425112501522609,"Primarily in person","6325","Public, 4-year",0.061501976284585,0.0189907261323241,"bad"
"3661","dec11","Colorado","Arapahoe","Aurora","Community College of Aurora",38,"ArapahoeColorado",0.0489453083354909,"Primarily online","7981","Public, 2-year",0.00476130810675354,-0.0441840002287374,"good"
"3662","dec11","Colorado","Denver","Denver","Community College of Denver",59,"DenverColorado",0.0572378580632031,"Hybrid","7887","Public, 4-year",0.00748066438443008,-0.049757193678773,"good"
"3663","dec11","Colorado","La Plata","Durango","Fort Lewis College",183,"La PlataColorado",0.0317141281727468,"Primarily in person","3319","Public, 4-year",0.0551370894847846,0.0234229613120378,"bad"
"3664","dec11","Colorado","Adams","Westminster","Front Range Community College",43,"AdamsColorado",0.0661898144837569,"Primarily online","18880","Public, 2-year",0.00227754237288136,-0.0639122721108755,"good"
"3667","dec11","Colorado","Denver","Denver","Metropolitan State University of Denver",158,"DenverColorado",0.0572378580632031,"Hybrid","20192","Public, 4-year",0.00782488114104596,-0.0494129769221571,"good"
"3668","dec11","Colorado","Morgan","Fort Morgan","Morgan Community College",13,"MorganColorado",0.0635750653639741,"Hybrid","1228","Public, 2-year",0.010586319218241,-0.0529887461457331,"good"
"3669","dec11","Colorado","Logan","Sterling","Northeastern Junior College",104,"LoganColorado",0.120041054933286,"Hybrid","1492","Public, 2-year",0.0697050938337802,-0.0503359610995058,"good"
"3670","dec11","Colorado","Otero","La Junta","Otero Junior College",31,"OteroColorado",0.0634095634095634,"Primarily in person","1262","Public, 2-year",0.0245641838351822,-0.0388453795743812,"good"
"3671","dec11","Colorado","El Paso","Colorado Springs","Pikes Peak Community College",45,"El PasoColorado",0.0473207357548483,"Primarily online","13204","Public, 4-year",0.00340805816419267,-0.0439126775906556,"good"
"3672","dec11","Colorado","Pueblo","Pueblo","Pueblo Community College",73,"PuebloColorado",0.0649907376620909,"Hybrid","6197","Public, 4-year",0.0117798934968533,-0.0532108441652376,"good"
"3674","dec11","Colorado","Denver","Denver","Regis University",177,"DenverColorado",0.0572378580632031,"Hybrid","7907","Private nonprofit, 4-year",0.0223852282787404,-0.0348526297844627,"good"
"3675","dec11","Colorado","Las Animas","Trinidad","Trinidad State Junior College",37,"Las AnimasColorado",0.0242658210395698,"Hybrid","1542","Public, 2-year",0.0239948119325551,-0.000271009107014674,"good"
"3680","dec11","Colorado","Denver","Denver","University of Denver",763,"DenverColorado",0.0572378580632031,"Primarily online","11952","Private nonprofit, 4-year",0.063838688085676,0.00660083002247294,"bad"
"3681","dec11","Colorado","Weld","Greeley","University of Northern Colorado",413,"WeldColorado",0.0516037375343614,"Hybrid","13437","Public, 4-year",0.0307360273870656,-0.0208677101472958,"good"
