"","date","state","county","city","college","cases","mergeCS","countyCovidProp","plan","enrollment2018","type","adjCases","diff","sign"
"56","oct8","Arkansas","Columbia","Magnolia","Southern Arkansas University",113,"ColumbiaArkansas",0.0248966193460374,"Undetermined","4472","Public, 4-year",0.0252683363148479,0.000371716968810543,"bad"
"59","oct8","Arkansas","Pulaski","Little Rock","University of Arkansas, Little Rock",114,"PulaskiArkansas",0.025551719650635,"Hybrid","10515","Public, 4-year",0.0108416547788873,-0.0147100648717477,"good"
"60","oct8","Arkansas","Drew","Monticello","University of Arkansas, Monticello",27,"DrewArkansas",0.0201986936714419,"Hybrid","3111","Public, 4-year",0.00867888138862102,-0.0115198122828209,"good"
"61","oct8","Arkansas","Jefferson","Pine Bluff","University of Arkansas, Pine Bluff",139,"JeffersonArkansas",0.0540374715671016,"Primarily online","2579","Public, 4-year",0.0538968592477705,-0.000140612319331143,"good"
"64","oct8","Arkansas","Conway","Conway","University of Central Arkansas",238,"ConwayArkansas",0.0143912501199271,"Primarily online","11177","Public, 4-year",0.0212937281918225,0.00690247807189539,"bad"
"65","oct8","Arkansas","Johnson","Clarksville","University of the Ozarks",37,"JohnsonArkansas",0.0335239671909098,"Hybrid","872","Private nonprofit, 4-year",0.0424311926605505,0.00890722546964066,"bad"
"67","oct8","California","Los Angeles","Lancaster","Antelope Valley College",9,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","14239","Public, 4-year",0.000632066858627713,-0.0270043553849045,"good"
"70","oct8","California","Los Angeles","La Mirada","Biola University",2,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","6109","Private nonprofit, 4-year",0.000327385824193812,-0.0273090364193384,"good"
"72","oct8","California","Los Angeles","Pasadena","California Institute of Technology",25,"Los AngelesCalifornia",0.0276364222435322,"Fully online","2233","Private nonprofit, 4-year",0.0111957008508733,-0.0164407213926589,"good"
"73","oct8","California","Ventura","Thousand Oaks","California Lutheran University",6,"VenturaCalifornia",0.0156523712597783,"Primarily online","4383","Private nonprofit, 4-year",0.00136892539356605,-0.0142834458662123,"good"
"74","oct8","California","San Luis Obispo","San Luis Obispo","California Polytechnic State University, San Luis Obispo",127,"San Luis ObispoCalifornia",0.0133481214082109,"Primarily online","22013","Public, 4-year",0.00576931813019579,-0.00757880327801511,"good"
"75","oct8","California","Los Angeles","Pomona","California State Polytechnic University, Pomona",12,"Los AngelesCalifornia",0.0276364222435322,"Fully online","26598","Public, 4-year",0.000451161741484322,-0.0271852605020479,"good"
"76","oct8","California","Solano","Vallejo","California State University Maritime Academy",3,"SolanoCalifornia",0.0148846290459138,"Primarily online","1046","Public, 4-year",0.00286806883365201,-0.0120165602122618,"good"
"77","oct8","California","Kern","Bakersfield","California State University, Bakersfield",3,"KernCalifornia",0.0362962979420175,"Primarily online","10816","Public, 4-year",0.000277366863905325,-0.0360189310781122,"good"
"79","oct8","California","Butte","Chico","California State University, Chico",195,"ButteCalifornia",0.0133448304180011,"Fully online","17578","Public, 4-year",0.0110934122198202,-0.00225141819818087,"good"
"82","oct8","California","Orange","Fullerton","California State University, Fullerton",4,"OrangeCalifornia",0.0178392614900941,"Fully online","40280","Public, 4-year",9.9304865938431e-05,-0.0177399566241557,"good"
"83","oct8","California","Los Angeles","Long Beach","California State University, Long Beach",30,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","37466","Public, 4-year",0.000800725991565686,-0.0268356962519665,"good"
"84","oct8","California","Los Angeles","Los Angeles","California State University, Los Angeles",83,"Los AngelesCalifornia",0.0276364222435322,"Fully online","28036","Public, 4-year",0.00296047938364959,-0.0246759428598826,"good"
"86","oct8","California","Los Angeles","Los Angeles","California State University, Northridge",31,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","40212","Public, 4-year",0.000770914154978613,-0.0268655080885536,"good"
"87","oct8","California","Sacramento","Sacramento","California State University, Sacramento",32,"SacramentoCalifornia",0.015088997962705,"Primarily online","31902","Public, 4-year",0.00100307190771738,-0.0140859260549876,"good"
"88","oct8","California","San Bernardino","San Bernardino","California State University, San Bernardino",4,"San BernardinoCalifornia",0.0260645800507778,"Primarily online","20238","Public, 4-year",0.000197647988931713,-0.0258669320618461,"good"
"89","oct8","California","San Diego","San Marcos","California State University, San Marcos",20,"San DiegoCalifornia",0.0147492908130712,"Primarily online","15972","Public, 4-year",0.00125219133483596,-0.0134970994782352,"good"
"91","oct8","California","Orange","Orange","Chapman University",9,"OrangeCalifornia",0.0178392614900941,"Primarily online","9608","Private nonprofit, 4-year",0.000936719400499584,-0.0169025420895945,"good"
"94","oct8","California","Orange","Cypress","Cypress College",8,"OrangeCalifornia",0.0178392614900941,"Fully online","15794","Public, 4-year",0.000506521463847031,-0.0173327400262471,"good"
"95","oct8","California","Marin","San Rafael","Dominican University of California",3,"MarinCalifornia",0.0263922480739957,"Primarily online","1779","Private nonprofit, 4-year",0.00168634064080944,-0.0247059074331863,"good"
"96","oct8","California","Plumas","Quincy","Feather River College",0,"PlumasCalifornia",0.00260541287818366,"Primarily online","2216","Public, 4-year",0,-0.00260541287818366,"good"
"97","oct8","California","Santa Clara","Los Altos","Foothill College",0,"Santa ClaraCalifornia",0.0114407122538452,"Primarily online","14732","Public, 4-year",0,-0.0114407122538452,"good"
"100","oct8","California","Los Angeles","Claremont","Harvey Mudd College",5,"Los AngelesCalifornia",0.0276364222435322,"Fully online","902","Private nonprofit, 4-year",0.00554323725055432,-0.0220931849929779,"good"
"101","oct8","California","Alameda","Oakland","Holy Names University",1,"AlamedaCalifornia",0.0130830016112926,"Fully online","960","Private nonprofit, 4-year",0.00104166666666667,-0.0120413349446259,"good"
"102","oct8","California","Humboldt","Arcata","Humboldt State University",11,"HumboldtCalifornia",0.00388763481314271,"Primarily online","7972","Public, 4-year",0.00137982940291019,-0.00250780541023252,"good"
"104","oct8","California","Los Angeles","Los Angeles","Loyola Marymount University",1,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","9838","Private nonprofit, 4-year",0.00010164667615369,-0.0275347755673785,"good"
"105","oct8","California","San Mateo","Atherton","Menlo College",3,"San MateoCalifornia",0.0134977360277495,"Fully online","775","Private nonprofit, 4-year",0.00387096774193548,-0.00962676828581402,"good"
"106","oct8","California","Alameda","Oakland","Mills College",3,"AlamedaCalifornia",0.0130830016112926,"Primarily online","1257","Private nonprofit, 4-year",0.00238663484486874,-0.0106963667664239,"good"
"110","oct8","California","San Mateo","Belmont","Notre Dame de Namur University",0,"San MateoCalifornia",0.0134977360277495,"Fully online","1492","Private nonprofit, 4-year",0,-0.0134977360277495,"good"
"111","oct8","California","Los Angeles","Los Angeles","Occidental College",5,"Los AngelesCalifornia",0.0276364222435322,"Fully online","1930","Private nonprofit, 4-year",0.00259067357512953,-0.0250457486684027,"good"
"112","oct8","California","Los Angeles","Malibu","Pepperdine University",21,"Los AngelesCalifornia",0.0276364222435322,"Fully online","7961","Private nonprofit, 4-year",0.00263785956538123,-0.024998562678151,"good"
"113","oct8","California","Los Angeles","Claremont","Pitzer College",1,"Los AngelesCalifornia",0.0276364222435322,"Fully online","1072","Private nonprofit, 4-year",0.000932835820895522,-0.0267035864226367,"good"
"114","oct8","California","San Diego","San Diego","Point Loma Nazarene University",8,"San DiegoCalifornia",0.0147492908130712,"Hybrid","4592","Private nonprofit, 4-year",0.00174216027874564,-0.0130071305343256,"good"
"115","oct8","California","Los Angeles","Claremont","Pomona College",1,"Los AngelesCalifornia",0.0276364222435322,"Fully online","1573","Private nonprofit, 4-year",0.000635727908455181,-0.027000694335077,"good"
"116","oct8","California","Los Angeles","Whittier","Rio Hondo College",15,"Los AngelesCalifornia",0.0276364222435322,"Fully online","19997","Public, 4-year",0.000750112516877532,-0.0268863097266547,"good"
"117","oct8","California","Contra Costa","Moraga","Saint Mary's College of California",9,"Contra CostaCalifornia",0.0150165665966784,"Primarily online","3881","Private nonprofit, 4-year",0.00231898995104355,-0.0126975766456349,"good"
"118","oct8","California","San Diego","San Diego","San Diego Mesa College",21,"San DiegoCalifornia",0.0147492908130712,"Primarily online","22284","Public, 4-year",0.000942380183091007,-0.0138069106299802,"good"
"119","oct8","California","San Diego","San Diego","San Diego Miramar College",4,"San DiegoCalifornia",0.0147492908130712,"Primarily online","15893","Public, 2-year",0.000251683130938149,-0.0144976076821331,"good"
"121","oct8","California","San Francisco","San Francisco","San Francisco State University",6,"San FranciscoCalifornia",0.0130860564755901,"Primarily online","29778","Public, 4-year",0.000201491033649003,-0.0128845654419411,"good"
"122","oct8","California","Santa Clara","San Jose","San Jose State University",50,"Santa ClaraCalifornia",0.0114407122538452,"Primarily online","35400","Public, 4-year",0.00141242937853107,-0.0100282828753141,"good"
"123","oct8","California","Orange","Santa Ana","Santa Ana College",0,"OrangeCalifornia",0.0178392614900941,"Primarily online","28425","Public, 4-year",0,-0.0178392614900941,"good"
"124","oct8","California","Santa Clara","Santa Clara","Santa Clara University",22,"Santa ClaraCalifornia",0.0114407122538452,"Primarily online","8642","Private nonprofit, 4-year",0.00254570701226568,-0.00889500524157952,"good"
"125","oct8","California","Los Angeles","Santa Monica","Santa Monica College",0,"Los AngelesCalifornia",0.0276364222435322,"Fully online","28800","Public, 4-year",0,-0.0276364222435322,"good"
"126","oct8","California","Los Angeles","Claremont","Scripps College",4,"Los AngelesCalifornia",0.0276364222435322,"Fully online","1071","Private nonprofit, 4-year",0.00373482726423903,-0.0239015949792932,"good"
"127","oct8","California","Shasta","Redding","Shasta College",3,"ShastaCalifornia",0.0068969346956908,"Hybrid","9105","Public, 4-year",0.000329489291598023,-0.00656744540409278,"good"
"128","oct8","California","San Mateo","San Bruno","Skyline College",0,"San MateoCalifornia",0.0134977360277495,"Primarily online","9014","Public, 4-year",0,-0.0134977360277495,"good"
"129","oct8","California","Solano","Fairfield","Solano Community College",0,"SolanoCalifornia",0.0148846290459138,"Primarily online","9378","Public, 4-year",0,-0.0148846290459138,"good"
"130","oct8","California","Sonoma","Ronhert Park","Sonoma State University",2,"SonomaCalifornia",0.0163512266960124,"Primarily online","9459","Public, 4-year",0.00021143884131515,-0.0161397878546972,"good"
"132","oct8","California","Santa Clara","Stanford","Stanford University",137,"Santa ClaraCalifornia",0.0114407122538452,"Primarily online","17381","Private nonprofit, 4-year",0.00788217018583511,-0.00355854206801009,"good"
"134","oct8","California","Alameda","Berkeley","University of California, Berkeley",220,"AlamedaCalifornia",0.0130830016112926,"Primarily online","42501","Public, 4-year",0.00517634879179313,-0.00790665281949946,"good"
"135","oct8","California","Yolo","Davis","University of California, Davis",84,"YoloCalifornia",0.0131927437641723,"Primarily online","38167","Public, 4-year",0.00220085414101187,-0.0109918896231604,"good"
"137","oct8","California","Orange","Irvine ","University of California, Irvine",120,"OrangeCalifornia",0.0178392614900941,"Primarily online","36032","Public, 4-year",0.0033303730017762,-0.0145088884883179,"good"
"138","oct8","California","Los Angeles","Los Angeles","University of California, Los Angeles",199,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","44537","Public, 4-year",0.00446819498394593,-0.0231682272595863,"good"
"139","oct8","California","Merced","Merced","University of California, Merced",4,"MercedCalifornia",0.0328111495246327,"Primarily online","8544","Public, 4-year",0.000468164794007491,-0.0323429847306252,"good"
"140","oct8","California","Riverside","Riverside","University of California, Riverside",68,"RiversideCalifornia",0.0247447325409039,"Primarily online","23922","Public, 4-year",0.00284257169133016,-0.0219021608495737,"good"
"141","oct8","California","San Diego","San Diego","University of California, San Diego",332,"San DiegoCalifornia",0.0147492908130712,"Primarily online","37887","Public, 4-year",0.00876290020323594,-0.00598639060983526,"good"
"143","oct8","California","Santa Barbara","Santa Barbara","University of California, Santa Barbara",10,"Santa BarbaraCalifornia",0.02096981180249,"Primarily online","25976","Public, 4-year",0.000384970742223591,-0.0205848410602664,"good"
"144","oct8","California","Santa Cruz","Santa Cruz","University of California, Santa Cruz",19,"Santa CruzCalifornia",0.00927847503596095,"Primarily online","19700","Public, 4-year",0.000964467005076142,-0.00831400803088481,"good"
"145","oct8","California","Los Angeles","La Verne","University of La Verne",0,"Los AngelesCalifornia",0.0276364222435322,"Primarily in person","8064","Private nonprofit, 4-year",0,-0.0276364222435322,"good"
"146","oct8","California","San Bernardino","Redlands","University of Redlands",6,"San BernardinoCalifornia",0.0260645800507778,"Fully online","4598","Private nonprofit, 4-year",0.00130491518051327,-0.0247596648702645,"good"
"147","oct8","California","San Diego","San Diego","University of San Diego",89,"San DiegoCalifornia",0.0147492908130712,"Primarily online","9073","Private nonprofit, 4-year",0.00980932436900694,-0.00493996644406426,"good"
"148","oct8","California","San Francisco","San Francisco","University of San Francisco",9,"San FranciscoCalifornia",0.0130860564755901,"Fully online","10713","Private nonprofit, 4-year",0.000840100812097452,-0.0122459556634926,"good"
"149","oct8","California","Los Angeles","Los Angeles","University of Southern California",459,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","47310","Private nonprofit, 4-year",0.00970196575776791,-0.0179344564857643,"good"
"150","oct8","California","San Joaquin","Stockton","University of the Pacific",10,"San JoaquinCalifornia",0.0272637335530632,"Fully online","6493","Private nonprofit, 4-year",0.00154012012937009,-0.0257236134236931,"good"
"151","oct8","California","Santa Barbara","Santa Barbara","Westmont College",7,"Santa BarbaraCalifornia",0.02096981180249,"Hybrid","1277","Private nonprofit, 4-year",0.00548159749412686,-0.0154882143083631,"good"
"152","oct8","California","Los Angeles","Whittier","Whittier College",4,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","1852","Private nonprofit, 4-year",0.00215982721382289,-0.0254765950297093,"good"
"153","oct8","Colorado","Alamosa","Alamosa","Adams State University",5,"AlamosaColorado",0.0157703443602538,"Hybrid","3110","Public, 4-year",0.00160771704180064,-0.0141626273184532,"good"
"154","oct8","Colorado","Arapahoe","Littleton","Arapahoe Community College",5,"ArapahoeColorado",0.0153170167075344,"Hybrid","11544","Public, 4-year",0.000433125433125433,-0.014883891274409,"good"
"155","oct8","Colorado","Jefferson","Lakewood","Colorado Christian University",1,"JeffersonColorado",0.010674563075482,"Primarily in person","7625","Private nonprofit, 4-year",0.000131147540983607,-0.0105434155344984,"good"
"156","oct8","Colorado","El Paso","Colorado Springs","Colorado College",14,"El PasoColorado",0.0103261646606136,"Fully online","2144","Private nonprofit, 4-year",0.00652985074626866,-0.00379631391434494,"good"
"157","oct8","Colorado","Mesa","Grand Junction","Colorado Mesa University",68,"MesaColorado",0.00469489656961287,"Primarily in person","9492","Public, 4-year",0.00716392751790982,0.00246903094829695,"bad"
"159","oct8","Colorado","Jefferson","Golden","Colorado School of Mines",41,"JeffersonColorado",0.010674563075482,"Primarily in person","6325","Public, 4-year",0.00648221343873518,-0.00419234963674682,"good"
"162","oct8","Colorado","Denver","Denver","Community College of Denver",42,"DenverColorado",0.0195431587255968,"Hybrid","7887","Public, 4-year",0.00532521871434005,-0.0142179400112567,"good"
"163","oct8","Colorado","La Plata","Durango","Fort Lewis College",20,"La PlataColorado",0.00490919763077854,"Primarily in person","3319","Public, 4-year",0.00602591141910214,0.0011167137883236,"bad"
"164","oct8","Colorado","Adams","Westminster","Front Range Community College",10,"AdamsColorado",0.019602992534126,"Primarily online","18880","Public, 2-year",0.000529661016949153,-0.0190733315171768,"good"
"166","oct8","Colorado","Denver","Denver","Metropolitan State University of Denver",27,"DenverColorado",0.0195431587255968,"Hybrid","20192","Public, 4-year",0.00133716323296355,-0.0182059954926332,"good"
"167","oct8","Colorado","Morgan","Fort Morgan","Morgan Community College",2,"MorganColorado",0.0263520022017339,"Hybrid","1228","Public, 2-year",0.00162866449511401,-0.0247233377066199,"good"
"168","oct8","Colorado","El Paso","Colorado Springs","Pikes Peak Community College",11,"El PasoColorado",0.0103261646606136,"Primarily online","13204","Public, 4-year",0.00083308088458043,-0.00949308377603317,"good"
"169","oct8","Colorado","Pueblo","Pueblo","Pueblo Community College",3,"PuebloColorado",0.00747518168432052,"Hybrid","6197","Public, 4-year",0.000484105212199451,-0.00699107647212107,"good"
"170","oct8","Colorado","Jefferson","Lakewood","Red Rocks Community College",0,"JeffersonColorado",0.010674563075482,"Primarily online","7384","Public, 4-year",0,-0.010674563075482,"good"
"171","oct8","Colorado","Denver","Denver","Regis University",66,"DenverColorado",0.0195431587255968,"Hybrid","7907","Private nonprofit, 4-year",0.00834703427342861,-0.0111961244521682,"good"
"172","oct8","Colorado","Las Animas","Trinidad","Trinidad State Junior College",1,"Las AnimasColorado",0.00172342478974218,"Hybrid","1542","Public, 2-year",0.000648508430609598,-0.00107491635913258,"good"
"177","oct8","Colorado","Denver","Denver","University of Denver",151,"DenverColorado",0.0195431587255968,"Primarily online","11952","Private nonprofit, 4-year",0.0126338688085676,-0.0069092899170292,"good"
"178","oct8","Colorado","Weld","Greeley","University of Northern Colorado",48,"WeldColorado",0.0154826621303453,"Hybrid","13437","Public, 4-year",0.00357222594329091,-0.0119104361870544,"good"
"180","oct8","Connecticut","New Haven","New Haven","Albertus Magnus College",1,"New HavenConnecticut",0.0172551965061415,"Primarily in person","1456","Private nonprofit, 4-year",0.000686813186813187,-0.0165683833193283,"good"
"181","oct8","Connecticut","Hartford","New Britain","Central Connecticut State University",87,"HartfordConnecticut",0.0172038307989055,"Primarily online","11822","Public, 4-year",0.00735916088648283,-0.00984466991242267,"good"
"182","oct8","Connecticut","New London","New London","Connecticut College",11,"New LondonConnecticut",0.00914760601193035,"Other","1844","Private nonprofit, 4-year",0.00596529284164859,-0.00318231317028176,"good"
"183","oct8","Connecticut","Windham","Windham","Eastern Connecticut State University",19,"WindhamConnecticut",0.00923943758455926,"Primarily in person","5208","Public, 4-year",0.00364823348694316,-0.0055912040976161,"good"
"184","oct8","Connecticut","Fairfield","Fairfield","Fairfield University",119,"FairfieldConnecticut",0.0218502075621308,"Primarily in person","5273","Private nonprofit, 4-year",0.0225677982173336,0.000717590655202785,"bad"
"187","oct8","Connecticut","New Haven","Hamden","Quinnipiac University",11,"New HavenConnecticut",0.0172551965061415,"Primarily in person","10207","Private nonprofit, 4-year",0.00107769178015088,-0.0161775047259906,"good"
"188","oct8","Connecticut","Fairfield","Fairfield","Sacred Heart University",283,"FairfieldConnecticut",0.0218502075621308,"Primarily in person","8958","Private nonprofit, 4-year",0.031591873185979,0.00974166562384822,"bad"
"189","oct8","Connecticut","New Haven","New Haven","Southern Connecticut State University",20,"New HavenConnecticut",0.0172551965061415,"Primarily online","10050","Public, 4-year",0.00199004975124378,-0.0152651467548977,"good"
"193","oct8","Connecticut","Fairfield","Bridgeport","University of Bridgeport",6,"FairfieldConnecticut",0.0218502075621308,"Primarily in person","5485","Private nonprofit, 4-year",0.00109389243391067,-0.0207563151282201,"good"
"194","oct8","Connecticut","Tolland","Storrs","University of Connecticut",300,"TollandConnecticut",0.00984600686035788,"Primarily online","27412","Public, 4-year",0.0109441120677076,0.00109810520734969,"bad"
"195","oct8","Connecticut","Hartford","West Hartford","University of Hartford",41,"HartfordConnecticut",0.0172038307989055,"Primarily in person","6770","Private nonprofit, 4-year",0.00605612998522895,-0.0111477008136765,"good"
"196","oct8","Connecticut","New Haven","West Haven","University of New Haven",5,"New HavenConnecticut",0.0172551965061415,"Primarily in person","6867","Private nonprofit, 4-year",0.00072811999417504,-0.0165270765119665,"good"
"197","oct8","Connecticut","Hartford","West Hartford","University of Saint Joseph",2,"HartfordConnecticut",0.0172038307989055,"Hybrid","2465","Private nonprofit, 4-year",0.000811359026369168,-0.0163924717725363,"good"
"199","oct8","Connecticut","Fairfield","Danbury","Western Connecticut State University",23,"FairfieldConnecticut",0.0218502075621308,"Primarily online","5642","Public, 4-year",0.00407656859269763,-0.0177736389694332,"good"
"200","oct8","Connecticut","New Haven","New Haven","Yale University",175,"New HavenConnecticut",0.0172551965061415,"Primarily online","13433","Private nonprofit, 4-year",0.0130276185513288,-0.00422757795481268,"good"
"201","oct8","Delaware","Kent","Dover","Delaware State University",54,"KentDelaware",0.0175787948181828,"Primarily online","4586","Public, 4-year",0.0117749672917575,-0.00580382752642528,"good"
"206","oct8","Delaware","New Castle","Newark","University of Delaware",388,"New CastleDelaware",0.0200732703001147,"Primarily online","24120","Public, 4-year",0.0160862354892206,-0.00398703481089414,"good"
"209","oct8","Florida","Orange","Orlando","AdventHealth University",1,"OrangeFlorida",0.0297161294396937,"Primarily online","1705","Private nonprofit, 4-year",0.000586510263929619,-0.0291296191757641,"good"
"211","oct8","Florida","Miami-Dade","Miami","Barry University",1,"Miami-DadeFlorida",0.0637772641280264,"Hybrid","7186","Private nonprofit, 4-year",0.000139159476760367,-0.063638104651266,"good"
"212","oct8","Florida","Volusia","Daytona Beach","Bethune-Cookman University",1,"VolusiaFlorida",0.0203060272843603,"Primarily online","3773","Private nonprofit, 4-year",0.000265041081367612,-0.0200409862029927,"good"
"213","oct8","Florida","Broward","Fort Lauderdale","Broward College",49,"BrowardFlorida",0.0401346184768571,"Primarily online","40784","Public, 4-year",0.0012014515496273,-0.0389331669272298,"good"
"214","oct8","Florida","Jackson","Marianna","Chipola College",3,"JacksonFlorida",0.0625673288231999,"Primarily in person","2081","Public, 4-year",0.00144161460836136,-0.0611257142148385,"good"
"216","oct8","Florida","Marion","Ocala","College of Central Florida",35,"MarionFlorida",0.0274195180795396,"Primarily online","6820","Public, 4-year",0.00513196480938416,-0.0222875532701554,"good"
